Nom,Valor,% Dif,Max,Min,Volum,Efectiu (milers euros),Data,Hora
R.E.C.,"16,6000","0,48","16,6200","16,4900",208.162,"3.450,76",12/04/2018,12:36
REPSOL,"15,5200","0,78","15,5400","15,3600",1.955.001,"30.237,50",12/04/2018,12:37
SIEMENS GAME,"13,2550","-0,71","13,5800","13,2200",444.129,"5.941,80",12/04/2018,12:37
TEC.REUNIDAS,"25,3100","-0,08","25,5000","25,1900",92.204,"2.337,72",12/04/2018,12:34
TELEFONICA,"8,1630","-0,07","8,1970","8,1180",4.807.690,"39.157,06",12/04/2018,12:37
VISCOFAN,"55,1000","-0,09","55,3000","55,0000",15.223,"838,54",12/04/2018,12:35
IBEX 35,"9.745,60","0,10","9.767,60","9.706,10",,,12/04/2018,12:38
ABERTIS,"18,2400","0,00","18,2750","18,2300",946.160,"17.261,46",12/04/2018,12:38
ACCIONA,"66,7400","1,21","66,8200","65,3200",50.815,"3.373,73",12/04/2018,12:38
ACERINOX,"11,5650","0,13","11,5650","11,5000",259.342,"2.986,78",12/04/2018,12:38
ACS,"33,1300","0,39","33,2400","32,8400",115.952,"3.828,66",12/04/2018,12:37
AENA,"170,3500","-0,76","171,5000","169,0500",2.119.970,"362.500,89",12/04/2018,12:38
AMADEUS,"61,3800","-0,32","62,0000","61,0400",81.451,"5.010,21",12/04/2018,12:37
ARCELORMIT.,"26,0750","0,66","26,1000","25,7100",97.877,"2.533,00",12/04/2018,12:37
BA.SABADELL,"1,7410","1,84","1,7445","1,7100",5.566.524,"9.650,72",12/04/2018,12:38
BA.SANTANDER,"5,3300","0,13","5,3540","5,3080",7.905.457,"42.094,15",12/04/2018,12:38
BANKIA,"3,7040","-0,59","3,7400","3,6940",5.849.061,"21.773,72",12/04/2018,12:38
BANKINTER,"8,3720","-0,24","8,4180","8,3440",166.124,"1.390,94",12/04/2018,12:37
BBVA,"6,3510","0,05","6,3720","6,3220",29.181.402,"185.382,44",12/04/2018,12:38
CAIXABANK,"3,9130","-0,05","3,9300","3,8930",1.895.310,"7.406,41",12/04/2018,12:38
CELLNEX,"23,5600","-0,08","23,6700","23,4300",204.740,"4.817,36",12/04/2018,12:38
DIA,"3,5090","-0,48","3,5260","3,4820",363.909,"1.275,38",12/04/2018,12:37
ENAGAS,"22,8900","-0,17","22,9500","22,7800",141.595,"3.240,88",12/04/2018,12:38
ENDESA,"17,9500","0,28","18,0200","17,6200",531.626,"9.497,16",12/04/2018,12:37
FERROVIAL,"17,2200","-0,75","17,3500","17,1000",153.865,"2.647,93",12/04/2018,12:38
GAS NATURAL,"20,0600","0,55","20,1100","19,8500",243.253,"4.860,20",12/04/2018,12:38
GRIFOLS CL.A,"23,2400","1,13","23,2500","22,9200",72.168,"1.666,22",12/04/2018,12:37
IAG,"7,0420","-0,17","7,1580","6,8000",1.691.077,"11.839,59",12/04/2018,12:37
IBERDROLA,"6,1680","0,55","6,1860","6,1240",2.649.250,"16.312,73",12/04/2018,12:38
INDITEX,"25,3100","-0,43","25,5500","25,1500",555.666,"14.055,29",12/04/2018,12:38
INDRA A,"11,1400","-0,36","11,2500","11,1300",67.321,"751,28",12/04/2018,12:37
INM.COLONIAL,"9,1400","-0,44","9,1900","9,0800",190.868,"1.742,38",12/04/2018,12:36
MAPFRE,"2,7790","2,09","2,7790","2,7250",837.838,"2.315,24",12/04/2018,12:37
MEDIASET,"8,1520","0,57","8,1540","8,0860",226.970,"1.843,62",12/04/2018,12:38
MELIA HOTELS,"11,4500","0,62","11,5100","11,3700",177.145,"2.028,63",12/04/2018,12:30
MERLIN,"12,4000","0,00","12,4200","12,3600",162.040,"2.005,92",12/04/2018,12:36
R.E.C.,"16,6100","0,54","16,6200","16,4900",209.088,"3.466,14",12/04/2018,12:38
REPSOL,"15,5250","0,81","15,5400","15,3600",1.955.981,"30.252,72",12/04/2018,12:38
SIEMENS GAME,"13,2650","-0,64","13,5800","13,2200",470.962,"6.297,94",12/04/2018,12:38
TEC.REUNIDAS,"25,3100","-0,08","25,5000","25,1900",92.204,"2.337,72",12/04/2018,12:34
TELEFONICA,"8,1680","-0,01","8,1970","8,1180",4.812.532,"39.196,60",12/04/2018,12:38
VISCOFAN,"55,1000","-0,09","55,3000","55,0000",15.223,"838,54",12/04/2018,12:35
IBEX 35,"9.746,20","0,11","9.767,60","9.706,10",,,12/04/2018,12:39
ABERTIS,"18,2400","0,00","18,2750","18,2300",946.160,"17.261,46",12/04/2018,12:38
ACCIONA,"66,7800","1,27","66,8200","65,3200",50.915,"3.380,40",12/04/2018,12:39
ACERINOX,"11,5650","0,13","11,5650","11,5000",259.914,"2.993,40",12/04/2018,12:39
ACS,"33,1300","0,39","33,2400","32,8400",115.952,"3.828,66",12/04/2018,12:37
AENA,"170,3500","-0,76","171,5000","169,0500",2.119.970,"362.500,89",12/04/2018,12:38
AMADEUS,"61,3800","-0,32","62,0000","61,0400",81.751,"5.028,62",12/04/2018,12:39
ARCELORMIT.,"26,0750","0,66","26,1000","25,7100",97.877,"2.533,00",12/04/2018,12:37
BA.SABADELL,"1,7415","1,87","1,7445","1,7100",5.576.593,"9.668,25",12/04/2018,12:39
BA.SANTANDER,"5,3320","0,17","5,3540","5,3080",7.906.784,"42.101,23",12/04/2018,12:39
BANKIA,"3,7040","-0,59","3,7400","3,6940",5.851.034,"21.781,03",12/04/2018,12:39
BANKINTER,"8,3720","-0,24","8,4180","8,3440",166.124,"1.390,94",12/04/2018,12:37
BBVA,"6,3520","0,06","6,3720","6,3220",29.186.000,"185.411,65",12/04/2018,12:39
CAIXABANK,"3,9150","0,00","3,9300","3,8930",1.901.810,"7.431,86",12/04/2018,12:39
CELLNEX,"23,5600","-0,08","23,6700","23,4300",204.740,"4.817,36",12/04/2018,12:38
DIA,"3,5100","-0,45","3,5260","3,4820",365.534,"1.281,08",12/04/2018,12:39
ENAGAS,"22,8900","-0,17","22,9500","22,7800",141.595,"3.240,88",12/04/2018,12:38
ENDESA,"17,9500","0,28","18,0200","17,6200",536.791,"9.589,90",12/04/2018,12:39
FERROVIAL,"17,2050","-0,84","17,3500","17,1000",154.340,"2.656,10",12/04/2018,12:39
GAS NATURAL,"20,0600","0,55","20,1100","19,8500",243.253,"4.860,20",12/04/2018,12:38
GRIFOLS CL.A,"23,2400","1,13","23,2500","22,9200",72.168,"1.666,22",12/04/2018,12:37
IAG,"7,0400","-0,20","7,1580","6,8000",1.693.783,"11.858,64",12/04/2018,12:39
IBERDROLA,"6,1680","0,55","6,1860","6,1240",2.651.385,"16.325,89",12/04/2018,12:39
INDITEX,"25,3100","-0,43","25,5500","25,1500",557.152,"14.092,91",12/04/2018,12:39
INDRA A,"11,1400","-0,36","11,2500","11,1300",67.321,"751,28",12/04/2018,12:37
INM.COLONIAL,"9,1400","-0,44","9,1900","9,0800",195.368,"1.783,53",12/04/2018,12:39
MAPFRE,"2,7790","2,09","2,7790","2,7250",837.838,"2.315,24",12/04/2018,12:37
MEDIASET,"8,1520","0,57","8,1540","8,0860",228.936,"1.859,65",12/04/2018,12:39
MELIA HOTELS,"11,4500","0,62","11,5100","11,3700",177.145,"2.028,63",12/04/2018,12:30
MERLIN,"12,4000","0,00","12,4200","12,3600",162.040,"2.005,92",12/04/2018,12:36
R.E.C.,"16,6100","0,54","16,6200","16,4900",209.234,"3.468,56",12/04/2018,12:38
REPSOL,"15,5200","0,78","15,5400","15,3600",1.966.788,"30.420,47",12/04/2018,12:39
SIEMENS GAME,"13,2550","-0,71","13,5800","13,2200",475.610,"6.359,59",12/04/2018,12:39
TEC.REUNIDAS,"25,3100","-0,08","25,5000","25,1900",92.204,"2.337,72",12/04/2018,12:34
TELEFONICA,"8,1670","-0,02","8,1970","8,1180",4.820.035,"39.257,87",12/04/2018,12:39
VISCOFAN,"55,1000","-0,09","55,3000","55,0000",15.223,"838,54",12/04/2018,12:35
IBEX 35,"9.744,60","0,09","9.767,60","9.706,10",,,12/04/2018,12:40
ABERTIS,"18,2350","-0,03","18,2750","18,2300",953.660,"17.398,22",12/04/2018,12:40
ACCIONA,"66,7800","1,27","66,8200","65,3200",50.915,"3.380,40",12/04/2018,12:39
ACERINOX,"11,5600","0,09","11,5650","11,5000",260.523,"3.000,44",12/04/2018,12:40
ACS,"33,1300","0,39","33,2400","32,8400",115.952,"3.828,66",12/04/2018,12:37
AENA,"170,3000","-0,79","171,5000","169,0500",2.120.445,"362.581,80",12/04/2018,12:40
AMADEUS,"61,3600","-0,36","62,0000","61,0400",81.868,"5.035,80",12/04/2018,12:40
ARCELORMIT.,"26,0750","0,66","26,1000","25,7100",97.877,"2.533,00",12/04/2018,12:37
BA.SABADELL,"1,7415","1,87","1,7445","1,7100",5.576.593,"9.668,25",12/04/2018,12:39
BA.SANTANDER,"5,3340","0,21","5,3540","5,3080",7.909.858,"42.117,62",12/04/2018,12:40
BANKIA,"3,7040","-0,59","3,7400","3,6940",5.851.034,"21.781,03",12/04/2018,12:39
BANKINTER,"8,3720","-0,24","8,4180","8,3440",166.124,"1.390,94",12/04/2018,12:37
BBVA,"6,3510","0,05","6,3720","6,3220",29.191.757,"185.448,22",12/04/2018,12:40
CAIXABANK,"3,9160","0,03","3,9300","3,8930",1.909.940,"7.463,69",12/04/2018,12:39
CELLNEX,"23,5500","-0,13","23,6700","23,4300",204.752,"4.817,65",12/04/2018,12:40
DIA,"3,5100","-0,45","3,5260","3,4820",365.534,"1.281,08",12/04/2018,12:39
ENAGAS,"22,8800","-0,22","22,9500","22,7800",141.944,"3.248,86",12/04/2018,12:40
ENDESA,"17,9500","0,28","18,0200","17,6200",536.791,"9.589,90",12/04/2018,12:39
FERROVIAL,"17,2050","-0,84","17,3500","17,1000",154.340,"2.656,10",12/04/2018,12:39
GAS NATURAL,"20,0600","0,55","20,1100","19,8500",243.664,"4.868,45",12/04/2018,12:40
GRIFOLS CL.A,"23,2400","1,13","23,2500","22,9200",72.455,"1.672,89",12/04/2018,12:40
IAG,"7,0360","-0,26","7,1580","6,8000",1.696.341,"11.876,64",12/04/2018,12:40
IBERDROLA,"6,1640","0,49","6,1860","6,1240",2.651.885,"16.328,98",12/04/2018,12:40
INDITEX,"25,3000","-0,47","25,5500","25,1500",558.031,"14.115,15",12/04/2018,12:40
INDRA A,"11,1400","-0,36","11,2500","11,1300",67.845,"757,12",12/04/2018,12:40
INM.COLONIAL,"9,1400","-0,44","9,1900","9,0800",195.368,"1.783,53",12/04/2018,12:39
MAPFRE,"2,7790","2,09","2,7790","2,7250",857.809,"2.370,73",12/04/2018,12:40
MEDIASET,"8,1500","0,54","8,1540","8,0860",230.060,"1.868,81",12/04/2018,12:40
MELIA HOTELS,"11,4500","0,62","11,5100","11,3700",177.145,"2.028,63",12/04/2018,12:30
MERLIN,"12,4000","0,00","12,4200","12,3600",162.040,"2.005,92",12/04/2018,12:36
R.E.C.,"16,6050","0,51","16,6200","16,4900",209.355,"3.470,57",12/04/2018,12:40
REPSOL,"15,5200","0,78","15,5400","15,3600",1.969.863,"30.468,19",12/04/2018,12:40
SIEMENS GAME,"13,2450","-0,79","13,5800","13,2200",477.832,"6.389,02",12/04/2018,12:40
TEC.REUNIDAS,"25,3300","0,00","25,5000","25,1900",92.283,"2.339,72",12/04/2018,12:40
TELEFONICA,"8,1680","-0,01","8,1970","8,1180",4.823.017,"39.282,23",12/04/2018,12:40
VISCOFAN,"55,1000","-0,09","55,3000","55,0000",15.223,"838,54",12/04/2018,12:35
IBEX 35,"9.745,80","0,10","9.767,60","9.706,10",,,12/04/2018,12:41
ABERTIS,"18,2400","0,00","18,2750","18,2300",953.997,"17.404,36",12/04/2018,12:41
ACCIONA,"66,7200","1,18","66,8200","65,3200",51.393,"3.412,30",12/04/2018,12:41
ACERINOX,"11,5650","0,13","11,5650","11,5000",263.990,"3.040,54",12/04/2018,12:41
ACS,"33,1700","0,52","33,2400","32,8400",117.570,"3.882,31",12/04/2018,12:41
AENA,"170,3000","-0,79","171,5000","169,0500",2.120.476,"362.587,08",12/04/2018,12:41
AMADEUS,"61,3600","-0,36","62,0000","61,0400",81.915,"5.038,68",12/04/2018,12:41
ARCELORMIT.,"26,0800","0,68","26,1000","25,7100",97.967,"2.535,35",12/04/2018,12:40
BA.SABADELL,"1,7420","1,90","1,7445","1,7100",5.586.587,"9.685,66",12/04/2018,12:41
BA.SANTANDER,"5,3340","0,21","5,3540","5,3080",7.918.693,"42.164,75",12/04/2018,12:41
BANKIA,"3,7040","-0,59","3,7400","3,6940",5.853.147,"21.788,86",12/04/2018,12:41
BANKINTER,"8,3720","-0,24","8,4180","8,3440",166.124,"1.390,94",12/04/2018,12:37
BBVA,"6,3500","0,03","6,3720","6,3220",29.199.755,"185.499,00",12/04/2018,12:41
CAIXABANK,"3,9160","0,03","3,9300","3,8930",1.909.940,"7.463,69",12/04/2018,12:39
CELLNEX,"23,5500","-0,13","23,6700","23,4300",206.596,"4.861,07",12/04/2018,12:41
DIA,"3,5100","-0,45","3,5260","3,4820",365.534,"1.281,08",12/04/2018,12:39
ENAGAS,"22,8800","-0,22","22,9500","22,7800",141.944,"3.248,86",12/04/2018,12:40
ENDESA,"17,9600","0,34","18,0200","17,6200",539.571,"9.639,82",12/04/2018,12:41
FERROVIAL,"17,2050","-0,84","17,3500","17,1000",154.340,"2.656,10",12/04/2018,12:39
GAS NATURAL,"20,0500","0,50","20,1100","19,8500",244.264,"4.880,48",12/04/2018,12:41
GRIFOLS CL.A,"23,2400","1,13","23,2500","22,9200",72.455,"1.672,89",12/04/2018,12:40
IAG,"7,0360","-0,26","7,1580","6,8000",1.696.341,"11.876,64",12/04/2018,12:40
IBERDROLA,"6,1680","0,55","6,1860","6,1240",2.663.570,"16.401,03",12/04/2018,12:41
INDITEX,"25,3000","-0,47","25,5500","25,1500",561.435,"14.201,26",12/04/2018,12:41
INDRA A,"11,1400","-0,36","11,2500","11,1300",67.845,"757,12",12/04/2018,12:40
INM.COLONIAL,"9,1400","-0,44","9,1900","9,0800",195.368,"1.783,53",12/04/2018,12:39
MAPFRE,"2,7790","2,09","2,7790","2,7250",857.809,"2.370,73",12/04/2018,12:40
MEDIASET,"8,1500","0,54","8,1540","8,0860",230.060,"1.868,81",12/04/2018,12:40
MELIA HOTELS,"11,4500","0,62","11,5100","11,3700",177.145,"2.028,63",12/04/2018,12:30
MERLIN,"12,4000","0,00","12,4200","12,3600",162.040,"2.005,92",12/04/2018,12:36
R.E.C.,"16,6050","0,51","16,6200","16,4900",209.355,"3.470,57",12/04/2018,12:40
REPSOL,"15,5150","0,75","15,5400","15,3600",1.972.643,"30.511,32",12/04/2018,12:41
SIEMENS GAME,"13,2400","-0,82","13,5800","13,2200",480.705,"6.427,06",12/04/2018,12:40
TEC.REUNIDAS,"25,3300","0,00","25,5000","25,1900",92.283,"2.339,72",12/04/2018,12:40
TELEFONICA,"8,1680","-0,01","8,1970","8,1180",4.827.210,"39.316,47",12/04/2018,12:41
VISCOFAN,"55,1000","-0,09","55,3000","55,0000",15.223,"838,54",12/04/2018,12:35
IBEX 35,"9.746,20","0,11","9.767,60","9.706,10",,,12/04/2018,12:42
ABERTIS,"18,2400","0,00","18,2750","18,2300",955.294,"17.428,02",12/04/2018,12:42
ACCIONA,"66,7200","1,18","66,8200","65,3200",51.400,"3.412,77",12/04/2018,12:42
ACERINOX,"11,5600","0,09","11,5650","11,5000",264.624,"3.047,87",12/04/2018,12:42
ACS,"33,1400","0,42","33,2400","32,8400",119.217,"3.936,90",12/04/2018,12:42
AENA,"170,3000","-0,79","171,5000","169,0500",2.120.543,"362.598,49",12/04/2018,12:42
AMADEUS,"61,3600","-0,36","62,0000","61,0400",82.074,"5.048,44",12/04/2018,12:42
ARCELORMIT.,"26,0450","0,54","26,1000","25,7100",98.171,"2.540,66",12/04/2018,12:42
BA.SABADELL,"1,7425","1,93","1,7445","1,7100",5.622.455,"9.748,15",12/04/2018,12:42
BA.SANTANDER,"5,3360","0,24","5,3540","5,3080",7.948.688,"42.324,79",12/04/2018,12:42
BANKIA,"3,7040","-0,59","3,7400","3,6940",5.853.147,"21.788,86",12/04/2018,12:41
BANKINTER,"8,3720","-0,24","8,4180","8,3440",166.124,"1.390,94",12/04/2018,12:37
BBVA,"6,3510","0,05","6,3720","6,3220",29.206.157,"185.539,66",12/04/2018,12:42
CAIXABANK,"3,9180","0,08","3,9300","3,8930",1.938.456,"7.575,39",12/04/2018,12:42
CELLNEX,"23,5500","-0,13","23,6700","23,4300",356.596,"8.395,07",12/04/2018,12:41
DIA,"3,5100","-0,45","3,5260","3,4820",365.534,"1.281,08",12/04/2018,12:39
ENAGAS,"22,8800","-0,22","22,9500","22,7800",141.944,"3.248,86",12/04/2018,12:40
ENDESA,"17,9600","0,34","18,0200","17,6200",539.571,"9.639,82",12/04/2018,12:41
FERROVIAL,"17,2050","-0,84","17,3500","17,1000",154.340,"2.656,10",12/04/2018,12:39
GAS NATURAL,"20,0500","0,50","20,1100","19,8500",244.264,"4.880,48",12/04/2018,12:41
GRIFOLS CL.A,"23,2400","1,13","23,2500","22,9200",72.455,"1.672,89",12/04/2018,12:40
IAG,"7,0300","-0,34","7,1580","6,8000",1.696.928,"11.880,77",12/04/2018,12:42
IBERDROLA,"6,1680","0,55","6,1860","6,1240",2.663.570,"16.401,03",12/04/2018,12:41
INDITEX,"25,3000","-0,47","25,5500","25,1500",563.296,"14.248,34",12/04/2018,12:42
INDRA A,"11,1400","-0,36","11,2500","11,1300",67.845,"757,12",12/04/2018,12:40
INM.COLONIAL,"9,1400","-0,44","9,1900","9,0800",195.368,"1.783,53",12/04/2018,12:39
MAPFRE,"2,7790","2,09","2,7790","2,7250",857.809,"2.370,73",12/04/2018,12:40
MEDIASET,"8,1420","0,44","8,1540","8,0860",230.546,"1.872,77",12/04/2018,12:42
MELIA HOTELS,"11,4500","0,62","11,5100","11,3700",177.145,"2.028,63",12/04/2018,12:30
MERLIN,"12,4000","0,00","12,4200","12,3600",162.040,"2.005,92",12/04/2018,12:36
R.E.C.,"16,6050","0,51","16,6200","16,4900",209.673,"3.475,85",12/04/2018,12:42
REPSOL,"15,5200","0,78","15,5400","15,3600",1.974.195,"30.535,41",12/04/2018,12:42
SIEMENS GAME,"13,2350","-0,86","13,5800","13,2200",481.105,"6.432,35",12/04/2018,12:42
TEC.REUNIDAS,"25,3300","0,00","25,5000","25,1900",92.283,"2.339,72",12/04/2018,12:40
TELEFONICA,"8,1670","-0,02","8,1970","8,1180",4.829.673,"39.336,59",12/04/2018,12:42
VISCOFAN,"55,1000","-0,09","55,3000","55,0000",15.223,"838,54",12/04/2018,12:35
IBEX 35,"9.745,40","0,10","9.767,60","9.706,10",,,12/04/2018,12:43
ABERTIS,"18,2400","0,00","18,2750","18,2300",955.294,"17.428,02",12/04/2018,12:42
ACCIONA,"66,7200","1,18","66,8200","65,3200",51.400,"3.412,77",12/04/2018,12:42
ACERINOX,"11,5600","0,09","11,5650","11,5000",264.912,"3.051,19",12/04/2018,12:43
ACS,"33,1400","0,42","33,2400","32,8400",119.217,"3.936,90",12/04/2018,12:42
AENA,"170,3000","-0,79","171,5000","169,0500",2.120.543,"362.598,49",12/04/2018,12:42
AMADEUS,"61,3600","-0,36","62,0000","61,0400",82.074,"5.048,44",12/04/2018,12:42
ARCELORMIT.,"26,0450","0,54","26,1000","25,7100",98.171,"2.540,66",12/04/2018,12:42
BA.SABADELL,"1,7425","1,93","1,7445","1,7100",5.631.167,"9.763,33",12/04/2018,12:43
BA.SANTANDER,"5,3360","0,24","5,3540","5,3080",7.951.693,"42.340,83",12/04/2018,12:43
BANKIA,"3,7050","-0,56","3,7400","3,6940",5.858.556,"21.808,90",12/04/2018,12:43
BANKINTER,"8,3740","-0,21","8,4180","8,3440",166.274,"1.392,20",12/04/2018,12:43
BBVA,"6,3510","0,05","6,3720","6,3220",29.206.403,"185.541,22",12/04/2018,12:43
CAIXABANK,"3,9180","0,08","3,9300","3,8930",1.942.707,"7.592,04",12/04/2018,12:43
CELLNEX,"23,5600","-0,08","23,6700","23,4300",356.663,"8.396,65",12/04/2018,12:43
DIA,"3,5100","-0,45","3,5260","3,4820",365.534,"1.281,08",12/04/2018,12:39
ENAGAS,"22,8800","-0,22","22,9500","22,7800",141.944,"3.248,86",12/04/2018,12:40
ENDESA,"17,9400","0,22","18,0200","17,6200",541.322,"9.671,24",12/04/2018,12:43
FERROVIAL,"17,2000","-0,86","17,3500","17,1000",155.340,"2.673,30",12/04/2018,12:43
GAS NATURAL,"20,0700","0,60","20,1100","19,8500",244.339,"4.881,99",12/04/2018,12:42
GRIFOLS CL.A,"23,2300","1,09","23,2500","22,9200",72.753,"1.679,81",12/04/2018,12:43
IAG,"7,0260","-0,40","7,1580","6,8000",1.700.402,"11.905,19",12/04/2018,12:43
IBERDROLA,"6,1680","0,55","6,1860","6,1240",2.663.570,"16.401,03",12/04/2018,12:41
INDITEX,"25,3000","-0,47","25,5500","25,1500",563.919,"14.264,10",12/04/2018,12:43
INDRA A,"11,1400","-0,36","11,2500","11,1300",68.045,"759,35",12/04/2018,12:43
INM.COLONIAL,"9,1400","-0,44","9,1900","9,0800",195.368,"1.783,53",12/04/2018,12:39
MAPFRE,"2,7770","2,02","2,7790","2,7250",863.382,"2.386,21",12/04/2018,12:43
MEDIASET,"8,1420","0,44","8,1540","8,0860",230.546,"1.872,77",12/04/2018,12:42
MELIA HOTELS,"11,4500","0,62","11,5100","11,3700",177.145,"2.028,63",12/04/2018,12:30
